,acc,loss,val_acc,val_loss
0,0.9237833333333331,0.246160883935292,0.9637,0.12000545906871501
1,0.968483333365122,0.100734425989786,0.9738,0.089096230843383
2,0.9774,0.075748069515327,0.9802000000000001,0.07212092290725501
3,0.981766666698455,0.059895604834457,0.9809,0.074594995552685
4,0.9847833333015441,0.050004097104569004,0.9777,0.08750025492777301
5,0.9865166666984551,0.043014340553184004,0.9799,0.08590005360996
6,0.988466666666666,0.038452771751334006,0.9826,0.07739326243566301
7,0.9900666666666661,0.033843748241042006,0.9819,0.077670982587656
8,0.9910833333333331,0.030737839776262002,0.984,0.078875516890674
9,0.9914333333333331,0.029328538574340004,0.9838,0.07876090123614701
10,0.9925,0.024738441836185003,0.9833000000000001,0.09927263037127301
11,0.992516666666666,0.024008132012494,0.9834,0.091790347499086
12,0.9929833333333331,0.024655628436012003,0.9827,0.09134467126499801
13,0.9939666666348771,0.021779353601776002,0.9818,0.10546863833112301
14,0.9938333333015441,0.022775826611607,0.9824,0.092740912557324
15,0.9942666666666661,0.020341809011079,0.9833000000000001,0.08489572889246601
16,0.99455,0.020281898120657,0.9818,0.108348855742094
17,0.9950833333333331,0.019036342080699,0.9825,0.11248344091470701
18,0.9953333333333331,0.019388151479007,0.9843000000000001,0.09464882002012501
19,0.9952166666348771,0.017060154090084,0.9849,0.10726285116789801
